,content
88,For downloads:https://kenyon.academia.edu/JosephAdler
89,I found a blog that asserts that the Yijing came from the Viet people. https://taobabe.wordpress.com/i-ching-made-in-vietnam-part-1/https://taobabe.wordpress.com/chu-dynasty-i-ching/And! The oldest source that included 64 hexagrams is from the Chu/Chou dynasty (1122–256 BCE) which was translated into  Vietnamesehttps://www.scribd.com/document/124295391/Chu-Dich-kinh-Dich-phan-Boi-ChauSo... does anybody here read Vietnamese? 
90,"I am making daily entries on my blog with excerpts from the translations section of  my book Zhou Yi Dao, Living the Yi Jing.You can find the blog here: http://templeofthesingularity.blogspot.com/And links to the updates are posted to my Facebook page: https://www.facebook.com/ZhouYiDao/?ref=bookmarksRegards,Chris Gait"
91,"Lars Bo Christensen has written Book of Changes: The Original Core of the I Ching, a book that will be of interest for those wanting to do close reading of the Zhouyi. A complete review is here; Hilary's prior review on this forum and discussion can be found here."
92,http://yjcn.nl/doublelake/2017/03/03/heaven-question-assignment/
93,"Plans for Clarity in 2017…I don’t have my calendar filled in with a Grand Plan for the Year, because you know how those turn out. (I’m learning that they turn into colour-coded confetti by about mid-February.) But I have some plans for the first few months, and it occurred to me you might be wondering what’s available when. So…In January 2017 I’ll be opening for readings – the full reading service, not the smaller I Ching chats which are more or less always available (though not so much for the next couple of weeks, because Christmas). The still point round the turning of the year, the quiet before Spring, is a natural time to go deeper.I read for at most half a dozen people at a time: I’ve found that’s a good way to ensure I have plenty of time and energy to work with each reading, mull it over and follow where it leads without hurry. The first thing I do when I open is to email people who have downloaded ‘Ways of Opening’ (a guide/ helper for finding your question), so if you’d be interested in a reading in January, please download a copy now.In February 2017 I’ll start the class on Reading for Others. This will be very small, probably a ‘beta’ version (ie it’s inexpensive and participants will be involved in shaping and improving the class), since while I’ve been doing this for a (very) long time, I’ve never taught it before.I won’t start anything else while ‘Reading for Others’ is still running, but later in the year I’d really like to run a Foundations Class again. The Foundations Course is always available, of course, and if you’re part of Change Circle you can always get my help with it in Yi Academy or by phone/Skype. But that’s still not the same as being part of a class, embarking on the course together and getting to know one another along the way. So… Foundations Class, later.And other intentions…share more with you (remembering my reading for the year – 61.2.4.5 zhi 21)take more breaksspend more time with people and with Yi, and a whole lot less time in website-wranglingA giftHere are two downloadable ebooks I put together for you:Book of Stories: an anthology of my posts on this theme over the past year, describing how you can use the stories Yi tells to understand your readings.Questioning: seven articles about how we open our conversations with Yi – a mix of experiences, thoughts and suggestionsBoth are pdf files, so right-click and chose ‘save target as’ or the equivalent to download them.Merry Christmas and a Happy New Year to you!Last edited: Dec 21, 2016"
94,"Our huge Yixue Bibliography will be getting another update by around Xmas.(Yixue means Yijing studies). If you haven't seen it yet, check it out at:http://www.hermetica.info/YixueBib.htm If you see something missing or want to add an entry, please email me soon.My email address is at the bottom of my web page, http://www.hermetica.info We'll also consider taking on another partner in this, who will be given accessto the whole digital library. This has thousands of volumes besides the Yijing. But joining means doing some work, as described at the top of the page."
95,"Wang Dongling, one of China's most eminent calligraphers, has created a wonderful work of art out of the Yijing text. Here's a link to an article about it in the China Daily..Barbara"
96,"Stephen Field's The Duke of Zhou Changes  (2015) is an immensely readable annotated translation that looks at the Zhouyi through the historical lens of the early Zhou period. Useful for any level of Yijing users.Read our full review here.There is also a thread elsewhere on the forum about this book; perhaps someone could remind me where it is located.BarbaraLast edited: Nov 9, 2016"
97,"I CHING / YI JING MEET UPS / SHARED READINGS / DISCUSSIONSI am gathering people in the Atlanta area interested in meeting to learn and share experiences with the I Ching. I am adding to a contact list to organize consistent meetings and to take part together in activities of interest such as guest speakers and workshops. No membership fees are required. Please contact me for more information and to be added to the contact list for ongoing information: Maggie May :  maggielanier.pa@gmail.comor Meetup.com.Atlanta.I ChingLast edited: Nov 7, 2016"
98,"Version 1.5 of the Resonance Journal is ready!*This version includes*Volume 1 of Bradford Hatcher’s*Yijing – the full translation with commentary – as a built-in translation to explore via the hexagram browser and select there for use with your reading entries. *If you already have the Resonance Journal installed, you must use the updater program to update*your journal. Do not install the new version from the software download page over the top of your existing installation as that would delete all your entries!How to update your journalJust to be safe, back up your journal. (Main menu, File > Back up journal entries – run the backup, then close your journal.)Download*the Journal Updater program –*JournalUpdaterTo1-5forWin.exeDouble-click the downloaded file to run the installer and follow the steps given……and*when you get to ‘Select Additional Tasks’, do check the box for ‘create a desktop icon’When installation is complete, find and click the icon on your desktop – it’ll look like this:*(If you’ve run updates previously, you might still have old copies of this icon*on your desktop –*ignore/delete those.)Reassure your computer again that you do want to allow this program or app to make changes, then*navigate to your ‘Resonance Journal’ folder. (If you accepted the defaults when you first installed the journal, it’ll be under C:\.)*Highlight*the folder name and click ‘Open’.The updater will run, and you’ll get an ‘Update Complete’ message when it finishes.(And then you can uninstall the Journal Updater if you so wish.)Good news for Mac users!Resonance Journal 1.5 comes with a Mac-compatible version too!*As soon as I’ve finalised the installation instructions and added some links, you’ll be able to download. I’ll post another update when this is ready."
99,"(Only 'I Ching News' in the rather loose sense that Clarity's about the I Ching and it has some news…)Here's a blog post about the upcoming redesign.To elaborate a bit... bright and early tomorrow morning (UK morning, that is), Audrey-the-expert will finish moving most of the site to the new design - basically, the blog and all the pages that aren't a) forum/ WikiWing or b) your account pages. Then I will fix the home page, and switch the forum to the new style. And once that's working I will do the account pages and assorted other tweaks. And I'll publish another blog post with a guide to the new site, to make sure you can find everything with no problem.In theory, this will all go beautifully smoothly. You'll just see the forum magically change to the lovely new design without so much as a hiccup. The top and bottom of the page will look very different - new images, new menus - but the forums in the middle will work just the same way.In practice, if it all looks like a dog's dinner at first, bear with me. The new forum skin has been working nicely as a test, but since lots of files it uses will be moved, I've had to change the links to all of those - and I won't be able to see whether I've got that right until after the move. The forums will keep working, though.Similarly for your account and membership pages, except that I haven't been able to test those with the new design at all - so while they will work, they will probably look funny for a while, until they don't.If, after any obvious dogs' dinners have been tidied up, you find mistakes/ bugs/ oddities, please assume I don't know about them, and tell me! Likewise if you're not sure where something has gone, please ask.Once I've tied up any loose ends, I plan to disappear on holiday for a couple of weeks... "
100,"Yi tends to shape people’s thinking, and when it gets hold of an artist or writer the consequences can be thoroughly*interesting…I mentioned Will Buckingham’s Sixty-Four Chance Pieces once before, but I’ll happily jump on this opportunity to recommend them again. These are 64 short stories, one inspired by each hexagram,*drawing on real knowledge of and insight into Yi and a true delight to read. (And maybe to use as a divination companion, as who knows what synchronicities might open up in response?)And… I’ve just heard of a new work*that looks very interesting: Changing, by Richard Berengarten. It’s a remarkable undertaking: a poem inspired by the whole Zhouyi, line by line. Here’s a pdf sampler that includes the first two hexagrams – though we’ll need to read the whole book to discover how much he’s been able to integrate of the Yi’s own internal architecture. I look forward to it.(If you’re in Chicago, there’s a book launch and reading from Changing in the University of Chicago’s Wieboldt Hall 408 on October 3rd at*4.30pm.)The post Yi as inspiration appeared first on I Ching with Clarity."
101,A travel diary in 4 parts:http://www.yjcn.nl/wp/going-back-to-the-source-the-manuscripts-of-richard-wilhelm-1/http://www.yjcn.nl/wp/going-back-to-the-source-the-manuscripts-of-richard-wilhelm-2/http://www.yjcn.nl/wp/going-back-to-the-source-the-manuscripts-of-richard-wilhelm-3/http://www.yjcn.nl/wp/going-back-to-the-source-the-manuscripts-of-richard-wilhelm-4-the-end/     Enjoy.     Harmen.
102,"Can't use IE now with this forum at all.  Hilary said to clear cache so I did but it didn't help so the only solution is to use Chrome which I'm not happy about.  Basically the forum on my IE browser froze about 5pm yesterday, none of posts will post and no new posts appear either.  I just tried to post in the IE browser and it says I have no access to the forum.  Am I the only one who cannot use IE to access this place now ?"
103,"I’ve just opened the (virtual) doors for a new I Ching chat service…What this isA 30 minute chat on anything I-Ching-related – a line you’re stuck on, a reading where you could really use a fresh perspective, an image or hexagram that keeps coming back, even a knotty problem that you can’t seem to resolve into a simple question to ask. That kind of thing.When I let the main I Ching reading service grow to the size it seemed to want to be – a month or so of in-depth exploration with weekly calls – this left a bit of a gap if you wanted some individual help with a reading but didn’t want a month-long, deep-dive intensive. I started offering I Ching chats for Change Circle members, and since this has worked well, I’ve decided to extend the offer to everyone.How it worksFirst you book a time, then you pay, and then you’re taken to a page where you can send me the details of what you want to talk about. That seemed the best order to do it in, to ensure you don’t pay unless you’ve booked a time that suits you.On the day, I’ll call you – by phone or Skype, whichever. Skype is preferable if you have it, because the sound quality’s better, but*phone works too.Three reasons not to book an I Ching chat1. You’re completely new to the I ChingConfident expertise*isn’t required, but you do need to be reasonably familiar with casting your own readings, so we can spend our 30 minutes*focussed on what you wanted to ask about, not distracted by technical details.(Of course, if what you want to ask about is a technical detail, that’s OK!)2. You’ve got a lot going on and need comprehensive helpIf you want really in-depth help, especially if you think it might take more than one reading, then you probably need the full I Ching reading service instead. In a small chat like this, I think less is more.3. You’re a Change Circle memberIf you’re a Change Circle member, this service is included as part of your membership. So use the Change Circle booking link – not the regular shop page, which would ask you for payment after booking.*(If you're not a member, you're welcome to join*- you'll be able to access the members-only booking page*immediately.)Here are all the details and the booking link for I Ching chats. If you have any questions, please ask!"
104,"What's happening?WikiWing is the I Ching Community's collaborative 'Wing' for Yi: a hexagram-by-hexagram, line-by-line commentary, based wholly on our own experiences in divination. It started life in 2008 with my own personal notes, and has been growing steadily through the years as people add more examples.Up until now, it's only been available to members of Change Circle. I'm going to change that, and create a separate WikiWing-only membership at a lower price.Why?In a nutshell: Change Circle is on its way to becoming the 'home' to all my courses and Yi-learning materials. Once complete, that'll mean putting its price up for new members - which would mean new people could only join and contribute to WikiWing by paying the higher price. That's not - at all - the idea behind it, so now feels like the right time to open WikiWing as something you can join on its own, to read and contribute.(To clarify - WikiWing will still be part of Change Circle, too. Change Circle people please note, you do not need to join it separately!)How?This isn't ready yet, but as soon as it is, there will be plenty of prominent links inviting you to join. You won't be able to miss it.To guarantee that this is affordable, I'm going to go out on a limb and try 'Pay What You Want' pricing. The best business advice says this is risky in general, and especially daft for a recurring subscription, but Yi is very encouraging, so here we go.WikiWing access - to both read and contribute - will be available as a monthly subscription. Pay what you want - what feels right to you. (The minimum monthly payment will be £1.)When?Soon! I've had to commission a new add-on to handle the 'pay what you want' subscription... that arrived this morning... and has a bug. So I need to get that fixed, and sort a couple of other technical things, and write some 'how to edit' help. If all goes well, I should be able to open the doors within 2 weeks....?(space for further questions below this post...)"
105,"The Designer's Book of Change by C.G. Garant is an interesting interpretation of the Yijing through the eyes of a teacher of design. It looks at the universal principles of good design and nicely draws wisdom from the Yijing to support those principles. The author has created a work of interest to all Yijing readers looking for balance and meaning.See our full review at: https://contemplatingiching.wordpress.com.BarbaraLast edited: Aug 2, 2016"
106,Just realized that Lars Bo Christensen has published a new translation:http://zhouyi.dk/  I find his commentaries on the Judgements and Lines very helpfull in all of their short simplicity in his recent work. Here He have given just the translation into english without commentaries. (I know that some preferr it this way)  This posting in case it hasn't been announced yet......
107,"Bettina Wilhelm is at it again. Looking forward to this tomorrow.The Secrets of the I ChingAnd yes, I'm still alive and well, as some friends from here, who read my brain droppings on Facebook, can attest... Carry on.L"
108,"Short version: here it is, with my apologies. (I didn’t know anyone still used it!)Backstory:A few years*ago I commissioned Ewald Berkers*(creator of the I Ching Community’s indispensable hexagram search) to make us a new online I Ching.I did so because the old reading, the one in two frames, created a lot of confusion for beginners. It always shows two hexagrams even when you’ve only cast one, so people get*the impression that*that an unchanging hexagram is*‘casting the same hexagram twice’. And it displays*the complete changing line texts of both hexagrams, leaving newcomers far from sure what’s actually part of their answer.The new reading*cleared up the confusion: an unchanging hexagram just appears as one hexagram, and only the relevant text is displayed. Also, since it casts one line at a time and displays the answer on a new page, it’s just a little slower to use, which in my book is a Good Thing. (And it*can be saved and exported to pdf and linked to…)I left the old frames reading around in case anyone wanted to use it, though I didn’t really expect anyone would. And then when I created the redesigned site, I called on Ewald again to make his reading script work with it (as a WordPress plugin)… and pretty much forgot the two-pane*reading still existed.Well… I live and learn…I’ve already had about 20 requests to put the old reading back. So, in response to popular demand, here it is. Restyled a little*to match the new site, and with the links corrected, but otherwise unchanged.I’ve included a link to this on the main free reading page*– tucked away at the bottom, under the ‘introduction for beginners’."
109,"or ‘Where did Hilary go?’For the last several months, I’ve been working on redesigning the website – which has been so time-consuming that really only Change Circle members have seen much of me. It has all taken just a bit longer than expected…But*we are almost there. All that’s left to do is the actual changeover to the new design. This is a bit more complicated than it sounds, so I’m getting a tremendously helpful expert to do the heavy lifting.What to expect on Saturday…Saturday 23rd*is Changeover Day, and there will be some odd moments: bits of the site looking different from other bits, links that lead nowhere, and so on. But everything should be working again normally within 48 hours or so. First the blog, then the main site, then the forums and finally your*‘account’ and ‘profile’ pages will be changed to the new design.…and afterwardsI expect I’ll spend the following*few-days-to-a-week doing the remaining technical chores and chasing down any unexpected bugs. (Just imagine me staggering blearily*about, waving a fly swatter.) If you could let me know about any issues you find during this time, that would be brilliant – thank you.And then I’m going to have a holiday. Not something I*normally do, but I think I need one. (Error 404, brain not found. Error 418*is also a distinct possibility.)And*then, when I’m back, I’ll invite you to have a look at the new ‘I Ching chat’ option. This is a quite different animal from the full reading service: it’s just a thirty minute chat to help you get ‘unstuck’ on a specific reading sticking point. The same service has been included in Change Circle for a while now, and*since that’s worked well, I thought I’d try making it generally available. More information coming with the new site…"
110,"As you can see… we have a new Clarity website. I really hope you like it! Here’s an explanation of the changes and a guide to the new site.Why change the design?Because the old one was old *– some nine years old, in fact – which means it wasn’t at all adapted for browsing on smartphones/ tablets. (You may have found it disappeared from Google search results on your phone – that would be why.) So that had to change… and while I was working on that, I’ve also tried to make it look a bit less like 2007.In the process I get to do something I always wanted: fill the site with images of the natural world, showing what Yi is and what it’s made of. When I started out, ‘site full of images’ meant ‘site no-one can actually load over their dial-up connection’ – but times have changed, and there’s no need for a site about the Yi to look like a site about a bank.The new header image shows the sun emerging from behind clouds – which is (probably) what the Chinese character yi*originally represented. Yi is change as in ‘a change in the weather’ and ‘the emergence of light’ – something I didn’t yet know in 2000 when I named the business ‘Clarity’.‘Life can be translucent’, says the header. That’s my idea of what Yi does – it opens up ordinary life so meaning shines through.What’s changed?Content-wise…Not a huge amount has changed. What I’ve done is to move things round and consolidate all the learning material in one place. So instead of a private free course for members and a bunch of public pages that sort-of more-or-less duplicate its material, there is a single free beginner’s course. You’ll find it (unsurprisingly) under ‘Learn’.There are still bonuses for free members. The difference: you don’t have to seek out a separate download area to find them, you only need to be logged in when you look at the course pages. On the same page, people who haven’t joined (or aren’t logged in) will see messages saying ‘Sign up to get this download’, while as a member you’ll just see a link to download it.If you’re on any page and not seeing what you think you should (eg if you’re a Change Circle member not seeing the full Foundations Course), click ‘log in’ at the top right.You’ll be redirected back to the same page afterwards, now displaying the right version for you.Navigation-wise…You no longer have to click over to ‘Learn’ to see what’s available there. Any main page is available from any other page – just mouseover/ tap on the main menu.Site search is also available directly from the main menu, and so is a contact form under ‘About –That’s on every page except the forum, where you’ll just see a link to the contact page.*Please use one of these if/when you find bugs!Finding forum thingsMouseover/ tap on ‘Community’. Here you’ll find a complete list of forums and – once you’re logged in – the forum search options, notifications, private messages and links to profile and settings. On a computer, you mouseover and then click what you want; on mobile, you tap a submenu to open it and then a link to access it.So everything that was under the ‘Talk’ tab is here, and so is most of what you used to access by clicking the ‘account’ link in the top right-hand corner. The exception to that: the log in form and the link to your main account page for Clarity as a whole (not just the forums) are still at the top right:Go to the ‘Your Account’ link at the top right if you want to –*see everything you’ve purchasedchange your passwordchange your registered email address (for forum notifications and product orders)change your username (that’s for future*posts – it won’t affect what’s displayed on your previous posts)delete your whole account at Clarity*Use the ‘Forum settings’ link under the ‘Community’ menu if you want to –*tweak how you appear on the forum – profile picture, the avatar by your posts, etcchange your forum signaturechange any of your forum preferences: skin, subscriptions, friends, private messaging etcaccess your bookmarks (CC members)To access what you’ve purchased…Log in, and then –You can look under the relevant tab: access Reading Circle, WikiWing, Yi Academy etc via the ‘Community’ menu; access the Foundations Course via ‘Learn’ and the ‘Treasure Chest’ extra articles via Learn > More tools – or from the ‘Change Circle’ home page under ‘Community’.You can also click ‘Your Account’ in the top-right hand corner of every page for… well… your account, which includes a list of direct links to ‘active resources’.Using the forum on your phone/ tabletI’ve had the menu adapted to be mobile-responsive in the forums too, so you may be quite happy using the forum just as it is. But if you’d prefer something simpler, there is a mobile skin you can choose as your default instead. To try it –At the bottom of the ‘Community’ menu, tap ‘Forum settings’In the left-hand menu under ‘My Account’ tap ‘General settings’In the very last section of this page, ‘Miscellaneous options’, you’ll find a dropdown menu for ‘forum skin’. Change that to ‘default mobile style’ and tap ‘save’ at the bottom of the page.This gives you a rudimentary, very quick and simple version of the forum: no links to the rest of the site, no ‘post thanks’, no settings page or hexagram search. Its main menu is the blue square grid icon at the top right.To change back, click ‘full site’ at the bottom of any forum page, and then make your way back to the settings page again to switch your default skin.If you find a bug…Then please oh please let me know. Click ‘About’ in the main menu and try out that nice, new contact form! Or visit this page at the forum*where kind people are already posting about bugs/ questions."
111,"An article in Shanghai Daily describes a custom-designed home based on I Ching. ""Designer Carbone said the client’s vision was to design a place of refinement and conviviality inspired by traditional Chinese culture and interior design principles. “We have worked very closely with ideas and motives from the Chinese classic text, the Yijing or ‘Book of Changes’. Wang wanted a special place for his friends and family to enjoy tea, entertain guests, listen to classical Chinese music and enjoy the astonishing views of the river and cityscape,” Carbone said."""
112,"An intriguing art show 360º I Ching, by the late sculptor Walter De Maria, based on the I Ching hexagram shapes, has opened in upstate New York. ""His work is more inscrutable and at the same time more open-ended than many of the artists in the collection...[viewers can see the] idea of a bounded limitlessness or infinity... and the vast knowledge within that.”The show takes place at the  Dia:Beacon Museum in Beacon, New York, and will be up until Summer 2017. See the full article in the Wall Street Journal."
113,"YiJingDao Lite 1.2 is a free Windows application, improved and without adds.YiJingDao Lite can run on most Windows versions, from Windows 10 to Windows XP.It has a modern YiJing translation with useful comments plus a dictionary with the meaning of the Chinese characters that form the original textThe Oracle can be consulted either with the coins or the yarrow-stalk method, using an animated interface.Oracle answers can be stored in a database, from where they can be imported or exported, to share them with others or for backup purposes. Trends in the Oracle answers can be analyzed easily by using the Analyze button in the database.Guidance for interpreting the Oracle answers is provided, so users can know how to interpret mutant lines.Besides the English translation, it includes the original Chinese text with a literal word by word translation of the Book of Changes.This feature is very handy for the serious YiJing aficionados, since only in that way the whole range of meanings of the Oracle answers can be unveiled.YiJingDao Lite is portable, after installing it on a folder, that folder can be copied to a USB Stick or to any other hard disk (In case the program is not installed, but copied, the two TTF fonts in its folder should be installed by the user).You can see some screenshots, learn more about the program, and download it at:http:/yijingdao.org"
114,"Here's a link to a review of Scott Davis' book, The Classic of Changes in Cultural Context. The book is full of challenging ideas about the structure of the Zhouyi, and proposes an underlying matrix for the hexagrams (both text and graphic)."
115,I've just posted a review of David Hinton's I Ching: The Classic of Change to http://www.contemplatingiching.wordpress.com. There are comments on another thread on Online Clarity about this book.Barbara
116,"This sounds interesting: a two day course in London on 9 Star Ki astrology and its roots in the Yijing. If you’re interested I would recommend getting in touch with the organisers soon, as they’re only taking six students. Click the image for more information:"
117,"In seeking to understand the origins of my aberrant understanding of Hexagram 44, I went searching for Stephen Karcher and found:http://inthefamilyway.org/iching/(The first I Ching translation I ever read was Karcher's work.  While I only studied with him in person for one week and have found more of a home here, I appreciate his contribution.  I especially like his understanding of Hexagram 44 and 54)Last edited: Mar 9, 2015"
118,"Margaret Pearson's The Original I Ching is a very engaging book with clear enough writing and ideas for beginners, but with some challenging new ideas and translations and commentary for experienced readers (particularly regarding women's roles in early China, and later gendering of yin and yang). Much food for thought. A full review is at https://contemplatingiching.wordpress.com/news-and-reviews/"
119,"http://www.memrise.com/course/20203/This app helps with memorization of various things (alphabets, languages, art, history, etc.) and features an excellent course on memorizing the Hexagrams of the Yijing. The link above is specifically for the Yijing lesson. The course covers being able to identify the 8 trigrams by symbol, element and pinyin name, and the 64 hexagrams by the same. Its super cool."
120,"I am conducting a series of lessons on Zhou Yi Dao meditation and the Yi Jing in Second Life. Those interested please contact me in private email.We have already had several lessons, and will be starting our Yi Jing studies in the coming weeks. We will be studying one pair of hexagrams each Sunday at 11 AM - 12 PM Eastern time."
121,"Subscriptions for My Ching, the I Ching Journal software for Windows, are now on sale at http://myching.softwareLast edited: Apr 9, 2016"
122,"If you are lucky enough to be near London, there is a group now meeting there, the London Yijing Society.Those of us far away can take advantage of their agendas being posted, and follow along from a distance. For this month's meeting on April 21, 2016, they are studying Hexagrams 8-16, and the first four chapters of the Great Treatise.Join in!Barbara"
123,"The existence of this site - http://adamsyi.com/ - is news to me, at least. And while I know less than nothing about physics, the way he writes about trigrams is very lucid and insightful. I can at least follow a couple of articles before I find myself out of my depth. I'm not really one to judge, but I think this is good stuff."
124,"Just a quick note to say*here is version 1.4*of the Resonance Journal.It*has a shiny new*random entry*option. You simply select ‘Review Random Entry’ from the ‘entries’ menu (or use the keyboard shortcut ctrl+m) to bring up a past entry. I’m finding this to be an intriguing opening for synchronicity:*useful reminders, different perspectives on hexagrams I’m living with now, invitations to benefit from hindsight. It makes ‘reviewing readings’*less like homework and more like a game – create the opening, see what shows up.Also, the software’s now faster and smoother – if you have a lot of entries, you’ll notice the difference when*running searches – and has some nice*little additions to its general user-friendliness,*like the way the entry tree automatically opens to the current entry when you switch there from list view.This is of course in addition to all the existing features…included translations with commentary (LiSe Heyboer’s and my own)quick ways to enter a Yijing reading – or cast one inside the journalincluded Language of Change Yijing glossarysuper-quick ‘cast history’ search (for the ‘didn’t I have that line/hexagram recently?’ moments)tags to track the*connections and resonances between readings, dreams and synchronicitiesadvanced search to find basically anything (now faster!)cross-linking entriesand so on…The 30 day trial is free to download. It won’t lock up your readings when the trial expires (because that would be tremendously annoying), but obviously we hope you’ll buy the full version to keep all the excellent search features…"
125,"This picture has been going around a while but I think it is important enough to have it filed in this forum.http://www.yjcn.nl/images/shifa.jpg (warning: large image)From the Qinghua bamboo manuscripts (http://now.dartmouth.edu/2013/05/tsinghua-bamboo-manuscripts-offer-clues-about-early-china/). It shows the trigrams connected to the human body, as known from the 說卦. The Qinghua documents have the same style of writing as the Shanghai manuscripts and the Guodian manuscripts and are probably from around the same date, 300 BC. It would be the oldest trigram circle found in Chinese history, and the oldest link of the trigrams connected to the body. It is published in 《清華大學藏戰國竹簡（肆）》. The Shifa 筮法 manuscript also links the Houtian Bagua 後天八卦 with the shuzigua 數字卦, the numerical 'hexagrams' that Zhang Zhenglang wrote about (see here for more info). The Shifa manuscript marks a phase in the development of the Zhouyi from a numerical system to a more symbolic system in which numbers are less important. The commentary to the 'hexagrams' in the Shifa manuscript show how they are interpreted. I expect more publications about the Shifa manuscript this year."
126,"I'm organizing an I Ching discussion group/workshop in NYC, 'The I Ching Society of New York.' We will organize face-to-face meetings at least once a month to start off with. In some ways it's intended to be a lot like this forum only face-to-face. Theoretical and historical discussion, interpretive questions (regarding personal readings or in general) all encouraged but as there will be no teacher, leader or instructor (other than the Yi, of course) it'll take whatever shape its members want it to; In other words, I don't really know  Group/ritual divinations on ""astrologically auspicious occasions"" are planned, as meeting face-to-face will afford this opportunity. It's in the planning stages and I am taking contact information of anyone interested. We're just a few people now, so once there are a few more on board I'll reach out to everyone and we can pick a time(s) and place(s) to meet that's as mutually convenient as possible. If interested and available to attend meetings in the New York City area please email ichingsocietyny at gmail dot com and we'll reach out to everyone to find a time or times to meet.If you know of anyone who may be interested in joining a discussion group on the I Ching in the NYC area please put them in touch. ichingsocietyny at gmail dot comThank you!Last edited: Dec 24, 2015"
127,"jingleicai has this video, the fifth:http://www.onlineclarity.co.uk/frie...und-this-english-subtitle-iching-lesson-videoLast edited: Jan 2, 2016"
128," I’ve been blessed with some wonderful reading clients over the past year, and I’m hugely grateful for the experience. I’ve witnessed clarity dawning, knots untying themselves, blocks dissolving – Yi at work. I love it. And… I realise there’s something I need to tweak a bit to create more space for the reading to happen.Four things I’ve found work really well: Readings in conversation*– by Skype or phone – because readings actually are*a conversation, not a monologue, so a real-life conversation turns out to be their natural element. (If you can’t have a spoken conversation we can use text chat, and if that’s not possible we’ll work out a way to do this by email – but still as a conversation, not an essay!)The opening call*to discuss the background and find the question. Last time around, I had someone email me the day after his opening call to say that now he knew the question, he found he also knew the answer, so could we cancel the reading? We did. There’s magic just in knowing the question you’re truly asking. Then you can begin to see how it’s being answered – by a Yijing reading, and in other ways.The month-long shared exploration*of the reading, with the review call at the end. This gives us more time to reflect and get deeper into the reading – I ‘carry’ it with me and keep my eyes and ears open for new insights – and creates a space where we can experience the reading doing its work. And also…The integrating questions*– ridiculously tiny little emails, just a question or two, that spark substantial insights. I especially enjoy it when a client emails me back in response to these and we can get into conversation.Two things I’ve found could be better, that I want to change: Squeezing the whole reading into one call. Yes, if we take the full 90 minutes I can cover all the essentials, but a) I’m going through thinking, ‘Oh, no time, better leave that part out for now’ and b) the client sometimes senses the pressure of how much there is to communicate and starts apologising for interrupting*me, which is ridiculous because whose reading is it anyway?*and c) the whole thing can feel like a giant information-dump. That’s especially true if you’re completely new to Yi, not familiar with the basic structure (hexagrams, changing lines etc) – but really, even if you know Yi well, there is just so much*in a reading. During the month that follows I’ll email some of the parts I missed on the call, but this really isn’t as good as talking about them – and then when we speak again for the review call I’m quite often left thinking, ‘I wish I’d included that, it would have been really helpful!’ Which is daft, because it wouldn’t have been helpful at all – it would have been entirely lost in the flood.Limiting it to just one reading. 99.98% of the time this works beautifully – as a rule, the questions you have about a reading are all answered by that reading – but sometimes there is a complementary question that obviously needs asking. Or sometimes Yi’s answer to the first question may*forcefully redirect you to ask something else. In these cases, it’s silly to be stuck with just one. Also, I sometimes find myself on an opening call working to dispel a sense of artificial pressure to find the ‘One Right Question’.So… here is how the newly-tweaked readings will look when I open in a few days’ time: We start the same way –you download the ‘Ways of Opening’ pdf (see the bottom of this page) and use it to reflect on your question, and then we talk and then you decide whether to go ahead with a reading  And then…in our first reading call we cover the essentials of the reading and I’ll still send you the ‘integrating questions’ emails because people have repeatedly told me how valuable those are but we’ll also*have four*further weekly calls*for deeper exploration of the reading, to talk about how it applies and how you can use it in the moment, to answer your questions, and also to discuss (and if necessary ask Yi) any related questions that come up.  So there will be more space and time to explore: you’ll have a clear sense of the framework and core message of the reading and be able to relate to and use its insights within that context. The price for this expanded reading service will be £200 – or £150 for Change Circle members – or four instalments of £52. A final note: while this post is about the reading service I offer, you can also ‘rewrite’ it to be about what you can offer yourself*when you cast a reading. A long journalling session to find the question you’re truly asking (the ‘Ways of Opening’ download is free)… an hour or so set aside to reflect on the reading… time in your calendar*to come back to it and see how it connects into your unfolding experience, and so on. Not every reading calls for this kind of deep exploration, of course – but when one does, give it space to unfold."
129,"Unearthing the Changes: Recently Discovered Manuscripts of the Yi Jing (I Ching) and Related Texts (Translations from the Asian Classics) http://tinyurl.com/k43672zJust out and I haven't even ordered it yet, but I'm passing along the news for the happy few who like this sort of thing "
